General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,1915,20.90436561,136.463899,0,0,1.017204,1.004113,-4.065964,0.0091,0,0,915.528,363.198,370.308,1063.274,0,0
,,1916,20.90495336,136.597707,0,0,1.01745,1.009417,-4.12841,0.0106,0,0,900.852,363.168,370.28,1063.314,0,0
,,1917,20.90510307,136.13614,0,0,1.016985,1.01171,-4.071028,0.0108,0,0,905.286,363.154,370.276,1063.32,0,0
,,1918,20.90480919,134.893341,0,0,1.016891,0.998886,-4.088061,0.0111,0,0,920.206,363.173,370.273,1063.313,0,0
,,1919,20.90444046,134.977711,0,0,1.017057,1.008832,-4.163723,0.0102,0,0,918.174,363.12,370.249,1063.337,0,0
,,1920,20.90436561,136.396422,0,0,1.017328,1.011328,-4.114986,0.0101,0,0,909.416,363.091,370.206,1063.362,0,0
,,1921,20.90436561,136.047901,0,0,1.017501,1.002698,-4.102095,0.0114,0,0,900.949,363.085,370.209,1063.426,0,0
,,1922,20.90436561,136.488442,0,0,1.017554,1.01051,-4.155108,0.0126,0,0,923.468,363.082,370.19,1063.439,0,0
,,1923,20.90524724,135.744226,0,0,1.017605,1.010833,-4.08306,0.0118,0,0,905.655,363.098,370.168,1063.407,0,0
,,1924,20.90488404,135.3829,0,0,1.017824,1.009385,-4.065172,0.0113,0,0,900.163,363.111,370.193,1063.377,0,0
,,1925,20.90444046,136.477203,0,0,1.017762,1.005842,-4.184718,0.0097,0,0,909.2,363.087,370.205,1063.408,0,0
,,1926,20.90407173,135.71317,0,0,1.01833,1.01539,-4.108716,0.01,0,0,895.677,363.087,370.192,1063.453,0,0
,,1927,20.90429076,135.795606,0,0,1.018275,1.010077,-4.08721,0.011,0,0,882.361,363.085,370.221,1063.458,0,0
,,1928,20.90465949,135.360513,0,0,1.018475,1.007386,-4.162838,0.0116,0,0,887.459,363.103,370.22,1063.474,0,0
,,1929,20.90532209,134.699258,0,0,1.018425,1.006996,-4.11819,0.0123,0,0,888.695,363.093,370.211,1063.484,0,0
,,1930,20.90576567,134.619779,0,0,1.019016,1.012248,-4.087073,0.0092,0,0,889.077,363.098,370.211,1063.524,0,0
,,1931,20.90525277,135.252825,0,0,1.018438,1.00608,-4.160046,0.0115,0,0,900.635,363.087,370.229,1063.54,0,0
,,1932,20.904524,136.320444,0,0,1.018138,1.005908,-4.132957,0.0094,0,0,899.977,363.09,370.202,1063.508,0,0
,,1933,20.90378014,136.650732,0,0,1.018816,1.016076,-4.109577,0.0113,0,0,899.416,363.059,370.179,1063.504,0,0
,,1934,20.90450978,135.74484,0,0,1.01884,1.005324,-4.120469,0.0101,0,0,889.257,363.023,370.106,1063.536,0,0
,,1935,20.90502821,136.496518,0,0,1.01912,1.002387,-4.147828,0.0129,0,0,884.033,362.959,370.065,1063.53,0,0
,,1936,20.90480919,136.148638,0,0,1.019133,1.007587,-4.139409,0.0081,0,0,890.325,362.978,370.108,1063.587,0,0
,,1937,20.90473434,136.042644,0,0,1.018794,1.014854,-4.113538,0.0116,0,0,889.487,362.993,370.114,1063.603,0,0
,,1938,20.90444046,135.664159,0,0,1.019218,1.003326,-4.114714,0.0136,0,0,898.714,362.986,370.086,1063.666,0,0
,,1939,20.90348398,135.377939,0,0,1.019438,1.008628,-4.148013,0.0103,0,0,895.939,362.959,370.058,1063.733,0,0
,,1940,20.90443493,135.548738,0,0,1.019232,1.014585,-4.125345,0.0088,0,0,913.981,362.932,370.033,1063.826,0,0
,,1941,20.90473434,136.675928,0,0,1.019725,1.006253,-4.088518,0.0118,0,0,900.88,362.914,370.022,1063.91,0,0
,,1942,20.90473434,135.70528,0,0,1.020233,1.010522,-4.143829,0.0117,0,0,915.644,362.902,370.02,1063.992,0,0
,,1943,20.90444046,135.695823,0,0,1.019591,1.014203,-4.134636,0.0114,0,0,891.446,362.883,369.993,1064.058,0,0
,,1944,20.90377786,135.85306,0,0,1.019864,1.01294,-4.067235,0.0099,0,0,904.712,362.901,370.007,1064.068,0,0
,,1945,20.90480366,135.097211,0,0,1.020004,1.003864,-4.149798,0.0147,0,0,901.085,362.889,369.985,1064.096,0,0
,,1946,20.90480919,135.51107,0,0,1.019412,1.01361,-4.096307,0.0086,0,0,924.82,362.847,369.943,1064.1,0,0
,,1947,20.90502821,135.731029,0,0,1.019811,1.01245,-4.05883,0.0091,0,0,917.073,362.816,369.89,1064.109,0,0
,,1948,20.90480919,135.80781,0,0,1.019814,1.006735,-4.121336,0.0121,0,0,910.313,362.817,369.908,1064.11,0,0
,,1949,20.9044448,135.610431,0,0,1.020458,1.013615,-4.136289,0.0112,0,0,906.145,362.795,369.878,1064.133,0,0
,,1950,20.90407287,136.129204,0,0,1.019957,1.011854,-4.091105,0.0121,0,0,895.767,362.786,369.882,1064.105,0,0
,,1951,20.90399688,135.830231,0,0,1.020422,1.006402,-4.189566,0.013,0,0,901.733,362.791,369.868,1064.079,0,0
,,1952,20.90458463,135.754044,0,0,1.020908,1.009698,-4.124615,0.0104,0,0,903.38,362.778,369.85,1064.033,0,0
,,1953,20.90473434,135.420745,0,0,1.021564,1.019669,-4.105198,0.0131,0,0,908.39,362.793,369.856,1063.944,0,0
,,1954,20.90473434,135.538363,0,0,1.021572,1.005558,-4.148935,0.0114,0,0,911.757,362.812,369.912,1063.859,0,0
,,1955,20.90444046,134.837616,0,0,1.02071,1.012006,-4.129517,0.0132,0,0,903.542,362.835,369.909,1063.814,0,0
,,1956,20.90554112,135.003939,0,0,1.021189,1.019131,-4.115833,0.0085,0,0,905.546,362.807,369.892,1063.793,0,0
,,1957,20.9061344,135.321079,0,0,1.021203,1.007874,-4.122843,0.0098,0,0,902.039,362.804,369.885,1063.748,0,0
,,1958,20.90650313,135.818102,0,0,1.02215,1.011355,-4.132694,0.0096,0,0,901.521,362.78,369.867,1063.683,0,0
,,1959,20.90716573,135.498459,0,0,1.022149,1.017908,-4.156399,0.0106,0,0,896.752,362.779,369.859,1063.6,0,0
,,1960,20.90702156,135.779256,0,0,1.022062,1.014284,-4.131658,0.0089,0,0,903.484,362.792,369.883,1063.533,0,0
,,1961,20.9057712,136.101947,0,0,1.022148,1.005525,-4.133326,0.0112,0,0,904.423,362.814,369.887,1063.461,0,0
,,1962,20.90576567,137.184006,0,0,1.021781,1.020195,-4.148085,0.0108,0,0,893.368,362.79,369.882,1063.393,0,0
,,1963,20.90672215,136.227646,0,0,1.021658,1.011815,-4.096215,0.0102,0,0,891.586,362.805,369.89,1063.348,0,0
,,1964,20.90694671,135.98072,0,0,1.022135,1.00573,-4.106514,0.0096,0,0,892.154,362.855,369.933,1063.249,0,0
,,1965,20.90724059,134.158894,0,0,1.021913,1.012959,-4.170286,0.011,0,0,890.188,362.871,369.927,1063.194,0,0
,,1966,20.90672768,135.267743,0,0,1.021573,1.017639,-4.099224,0.0141,0,0,899.594,362.857,369.967,1063.091,0,0
,,1967,20.90599023,136.276438,0,0,1.022037,1.011682,-4.124728,0.0111,0,0,899.185,362.884,369.972,1063.027,0,0
,,1968,20.90554665,136.439633,0,0,1.022217,1.011098,-4.175601,0.011,0,0,901.105,362.871,369.975,1063.049,0,0
,,1969,20.9066473,136.375554,0,0,1.021953,1.018676,-4.144969,0.0137,0,0,907.596,362.893,370.011,1063.019,0,0
,,1970,20.90694671,136.294815,0,0,1.021837,1.008373,-4.113322,0.0114,0,0,909.572,362.906,369.999,1063.037,0,0
,,1971,20.90665718,136.351954,0,0,1.02212,1.01203,-4.187728,0.0117,0,0,905.92,362.888,369.99,1063.048,0,0
,,1972,20.90687072,135.546069,0,0,1.022314,1.0174,-4.147965,0.0112,0,0,917.716,362.884,369.98,1063.02,0,0
,,1973,20.90606508,135.576124,0,0,1.022459,1.015663,-4.093157,0.0106,0,0,903.863,362.895,369.995,1063.016,0,0
,,1974,20.9061344,135.499338,0,0,1.02258,1.00791,-4.183502,0.0096,0,0,890.494,362.883,369.97,1062.949,0,0
,,1975,20.90679701,135.269236,0,0,1.022282,1.015173,-4.161262,0.0086,0,0,913.15,362.867,369.944,1062.922,0,0
,,1976,20.90753446,136.223934,0,0,1.022751,1.0208,-4.131183,0.0112,0,0,909.979,362.845,369.918,1062.864,0,0
,,1977,20.90855277,136.740872,0,0,1.02262,1.010316,-4.162759,0.0117,0,0,906.456,362.844,369.933,1062.852,0,0
,,1978,20.90879035,136.87147,0,0,1.022523,1.011624,-4.18624,0.0096,0,0,908.65,362.837,369.929,1062.851,0,0
,,1979,20.90761485,137.033437,0,0,1.023022,1.015864,-4.118966,0.0105,0,0,904.193,362.829,369.936,1062.888,0,0
,,1980,20.90790319,136.325725,0,0,1.022393,1.017535,-4.170029,0.0137,0,0,904.343,362.854,369.962,1062.925,0,0
,,1981,20.90864065,136.850109,0,0,1.022774,1.006925,-4.173979,0.0123,0,0,895.907,362.857,369.976,1062.909,0,0
,,1982,20.90908423,137.211232,0,0,1.022898,1.017875,-4.180313,0.01,0,0,895.41,362.83,369.937,1062.925,0,0
,,1983,20.90857133,136.655688,0,0,1.022938,1.017609,-4.153806,0.0146,0,0,918.654,362.807,369.92,1062.967,0,0
,,1984,20.90812775,135.968666,0,0,1.023018,1.00869,-4.131493,0.0127,0,0,900.259,362.793,369.876,1062.973,0,0
,,1985,20.9080529,135.885896,0,0,1.023312,1.012634,-4.159679,0.0104,0,0,895.127,362.765,369.857,1062.97,0,0
,,1986,20.9080529,136.004513,0,0,1.023818,1.019903,-4.158442,0.0118,0,0,894.771,362.746,369.834,1062.908,0,0
,,1987,20.90864065,136.201916,0,0,1.023562,1.010974,-4.121932,0.0118,0,0,909.094,362.734,369.829,1062.867,0,0
,,1988,20.90936942,135.568844,0,0,1.023604,1.007892,-4.188458,0.0103,0,0,907.191,362.738,369.843,1062.929,0,0
,,1989,20.90895112,136.041719,0,0,1.023303,1.019488,-4.160487,0.0117,0,0,920.979,362.707,369.8,1063.017,0,0
,,1990,20.90820488,135.980252,0,0,1.023461,1.012623,-4.118065,0.0119,0,0,918.374,362.657,369.741,1063.069,0,0
,,1991,20.90834243,136.401082,0,0,1.023028,1.011082,-4.207634,0.011,0,0,904.895,362.623,369.713,1063.105,0,0
,,1992,20.90754341,136.759304,0,0,1.023624,1.014905,-4.197648,0.0109,0,0,912.964,362.6,369.685,1063.15,0,0
,,1993,20.90672768,136.258943,0,0,1.023332,1.02378,-4.136555,0.0107,0,0,912.195,362.596,369.673,1063.181,0,0
,,1994,20.90715705,135.360197,0,0,1.023978,1.010121,-4.196525,0.0125,0,0,919.662,362.639,369.706,1063.188,0,0
,,1995,20.90673875,135.318378,0,0,1.024257,1.013642,-4.167979,0.0098,0,0,918.167,362.641,369.743,1063.182,0,0
,,1996,20.90628524,135.138326,0,0,1.024413,1.024189,-4.18546,0.0083,0,0,926.731,362.669,369.763,1063.207,0,0
,,1997,20.90620925,135.954828,0,0,1.024035,1.011325,-4.176879,0.0093,0,0,926.373,362.692,369.799,1063.275,0,0
,,1998,20.90679701,136.517309,0,0,1.024343,1.012582,-4.175202,0.0093,0,0,922.288,362.694,369.779,1063.332,0,0
,,1999,20.90665718,136.206672,0,0,1.024086,1.019541,-4.204007,0.0135,0,0,919.091,362.679,369.752,1063.292,0,0
,,2000,20.90687072,136.038539,0,0,1.024147,1.018887,-4.120363,0.0138,0,0,929.184,362.666,369.753,1063.249,0,0
,,2001,20.90665283,136.210213,0,0,1.024534,1.00748,-4.135889,0.013,0,0,929.21,362.631,369.703,1063.209,0,0
,,2002,20.9062841,135.962943,0,0,1.02469,1.016882,-4.206449,0.0104,0,0,938.823,362.591,369.667,1063.23,0,0
,,2003,20.9056215,135.570572,0,0,1.025121,1.01821,-4.122924,0.0104,0,0,934.875,362.574,369.642,1063.258,0,0
,,2004,20.9066473,135.302639,0,0,1.024446,1.013117,-4.165538,0.0107,0,0,926.881,362.598,369.666,1063.292,0,0
,,2005,20.90694671,135.885016,0,0,1.024637,1.019231,-4.19731,0.0109,0,0,913.971,362.571,369.637,1063.318,0,0
,,2006,20.90665283,136.681704,0,0,1.024783,1.018657,-4.124232,0.009,0,0,907.847,362.57,369.627,1063.336,0,0
,,2007,20.9051086,137.196019,0,0,1.025323,1.016049,-4.166951,0.0084,0,0,909.718,362.572,369.608,1063.352,0,0
,,2008,20.90444046,136.829784,0,0,1.0244,1.010234,-4.200723,0.0104,0,0,914.293,362.564,369.617,1063.287,0,0
,,2009,20.90465949,137.045317,0,0,1.024522,1.024583,-4.146429,0.0115,0,0,919.44,362.539,369.615,1063.272,0,0
,,2010,20.90473434,136.709889,0,0,1.025081,1.017968,-4.170677,0.0104,0,0,930.237,362.546,369.636,1063.287,0,0
,,2011,20.90473434,136.168266,0,0,1.024256,1.01239,-4.156784,0.0101,0,0,914.596,362.562,369.642,1063.281,0,0
,,2012,20.90473434,136.422526,0,0,1.024774,1.015417,-4.141743,0.0117,0,0,918.79,362.573,369.678,1063.311,0,0
,,2013,20.90473434,136.17386,0,0,1.024209,1.018584,-4.133067,0.012,0,0,922.39,362.626,369.689,1063.332,0,0
,,2014,20.90355883,135.693377,0,0,1.024108,1.010966,-4.147643,0.0109,0,0,916.446,362.635,369.717,1063.331,0,0
,,2015,20.90384718,135.462003,0,0,1.024476,1.012863,-4.162861,0.0111,0,0,911.442,362.64,369.711,1063.34,0,0
,,2016,20.90458463,136.31579,0,0,1.023484,1.022058,-4.177202,0.0112,0,0,904.172,362.623,369.717,1063.378,0,0
,,2017,20.90502821,135.377825,0,0,1.023393,1.010432,-4.104214,0.0098,0,0,911.67,362.673,369.775,1063.374,0,0
,,2018,20.90480919,135.237242,0,0,1.023439,1.010921,-4.193212,0.0104,0,0,906.327,362.676,369.787,1063.386,0,0
,,2019,20.90444046,135.706817,0,0,1.023485,1.011493,-4.240853,0.0119,0,0,913.936,362.671,369.791,1063.426,0,0
,,2020,20.90436561,134.9061,0,0,1.023819,1.02133,-4.147861,0.0106,0,0,900.343,362.662,369.792,1063.445,0,0
,,2021,20.90407608,135.622102,0,0,1.023448,1.011011,-4.188846,0.0078,0,0,912.301,362.666,369.806,1063.473,0,0
,,2022,20.90428962,136.866691,0,0,1.023713,1.010359,-4.266371,0.0077,0,0,897.724,362.655,369.796,1063.522,0,0
,,2023,20.90524724,135.927642,0,0,1.023607,1.01862,-4.183714,0.0093,0,0,912.3,362.648,369.779,1063.569,0,0
,,2024,20.90635343,135.993779,0,0,1.022911,1.020535,-4.188156,0.008,0,0,909.403,362.618,369.739,1063.635,0,0
,,2025,20.9062841,136.204875,0,0,1.023506,1.004834,-4.201196,0.007,0,0,904.347,362.608,369.712,1063.713,0,0
,,2026,20.90591972,136.034694,0,0,1.023269,1.010858,-4.188745,0.0096,0,0,887.672,362.581,369.702,1063.735,0,0
,,2027,20.90641722,136.611324,0,0,1.022565,1.020108,-4.220104,0.0105,0,0,899.034,362.586,369.694,1063.766,0,0
,,2028,20.90687072,135.646018,0,0,1.022219,1.012451,-4.181895,0.0114,0,0,891.84,362.562,369.667,1063.793,0,0
,,2029,20.90723624,135.765489,0,0,1.022465,1.009339,-4.197164,0.0114,0,0,896.825,362.553,369.669,1063.819,0,0
,,2030,20.90673875,136.768905,0,0,1.022568,1.013717,-4.239064,0.0085,0,0,885.377,362.555,369.684,1063.825,0,0
,,2031,20.90599251,135.738494,0,0,1.022186,1.015868,-4.13817,0.0092,0,0,895.663,362.574,369.693,1063.843,0,0
,,2032,20.9061344,136.461027,0,0,1.022108,1.003933,-4.152999,0.008,0,0,889.147,362.569,369.666,1063.794,0,0
,,2033,20.90650313,136.431224,0,0,1.0217,1.01366,-4.193508,0.0073,0,0,892.608,362.551,369.675,1063.762,0,0
,,2034,20.90657798,135.785248,0,0,1.021436,1.016711,-4.159823,0.0096,0,0,889.031,362.566,369.689,1063.71,0,0
,,2035,20.90687072,135.364279,0,0,1.021668,1.013127,-4.14771,0.0119,0,0,903.828,362.613,369.725,1063.665,0,0
,,2036,20.90870997,135.125514,0,0,1.022106,1.008674,-4.225543,0.0104,0,0,904.721,362.618,369.732,1063.663,0,0
,,2037,20.90858001,135.172544,0,0,1.021091,1.01605,-4.175667,0.0092,0,0,905.278,362.639,369.767,1063.682,0,0
,,2038,20.90784493,135.004216,0,0,1.02072,1.015279,-4.162028,0.0096,0,0,888.387,362.655,369.766,1063.639,0,0
,,2039,20.90826964,134.443544,0,0,1.020541,1.008043,-4.176716,0.0111,0,0,907.912,362.67,369.823,1063.649,0,0
,,2040,20.90842162,135.551785,0,0,1.020385,1.013462,-4.156249,0.0097,0,0,905.732,362.675,369.841,1063.626,0,0
,,2041,20.90900938,135.592558,0,0,1.020976,1.01438,-4.14334,0.0083,0,0,910.288,362.724,369.877,1063.622,0,0
,,2042,20.90858001,134.987361,0,0,1.021428,1.011104,-4.171439,0.0096,0,0,914.374,362.716,369.841,1063.642,0,0
,,2043,20.90842162,134.016396,0,0,1.020639,1.008067,-4.173227,0.0091,0,0,910.113,362.666,369.827,1063.619,0,0
,,2044,20.90812775,135.209023,0,0,1.020298,1.019878,-4.171999,0.0096,0,0,920.408,362.638,369.776,1063.602,0,0
,,2045,20.90834243,134.846116,0,0,1.02045,1.009089,-4.167905,0.0103,0,0,905.915,362.603,369.726,1063.583,0,0
,,2046,20.90870997,135.868365,0,0,1.020049,1.007228,-4.187259,0.011,0,0,897.649,362.576,369.706,1063.613,0,0
,,2047,20.90850201,136.143985,0,0,1.020532,1.012546,-4.221853,0.0102,0,0,904.282,362.561,369.699,1063.613,0,0
,,2048,20.90842162,136.515599,0,0,1.02061,1.015419,-4.201436,0.0131,0,0,904.137,362.544,369.673,1063.623,0,0
,,2049,20.90783387,136.189947,0,0,1.020126,1.00631,-4.159926,0.0093,0,0,898.846,362.546,369.695,1063.56,0,0
,,2050,20.90768417,135.810294,0,0,1.020372,1.004977,-4.197038,0.0142,0,0,890.987,362.599,369.752,1063.483,0,0
,,2051,20.90856238,135.956779,0,0,1.019967,1.013647,-4.176004,0.0099,0,0,896.938,362.609,369.764,1063.426,0,0
,,2052,20.90879035,136.137988,0,0,1.019584,1.007637,-4.133598,0.0099,0,0,897.642,362.608,369.746,1063.426,0,0
,,2053,20.90908423,136.075826,0,0,1.019473,1.005774,-4.222687,0.011,0,0,895.923,362.604,369.752,1063.442,0,0
,,2054,20.90858001,136.011022,0,0,1.019552,1.008663,-4.213945,0.0109,0,0,891.99,362.594,369.77,1063.474,0,0
,,2055,20.90754341,135.511779,0,0,1.019554,1.014725,-4.126152,0.0098,0,0,898.737,362.598,369.768,1063.503,0,0
,,2056,20.90760931,135.92482,0,0,1.019112,1.004154,-4.191477,0.0096,0,0,905.704,362.59,369.756,1063.496,0,0
,,2057,20.9085658,135.183671,0,0,1.018932,1.008632,-4.21118,0.0115,0,0,903.216,362.61,369.761,1063.531,0,0
,,2058,20.90908423,135.880391,0,0,1.018776,1.016296,-4.141117,0.0105,0,0,899.087,362.624,369.8,1063.503,0,0
,,2059,20.90915908,137.244444,0,0,1.018535,1.011569,-4.17118,0.0082,0,0,891.396,362.644,369.808,1063.527,0,0
,,2060,20.90857133,137.626919,0,0,1.018551,1.002915,-4.208936,0.0103,0,0,894.6,362.651,369.801,1063.505,0,0
,,2061,20.90783387,136.162326,0,0,1.01804,1.009517,-4.182187,0.0115,0,0,897.666,362.633,369.828,1063.488,0,0
,,2062,20.9079737,136.067283,0,0,1.018086,1.017538,-4.198504,0.0121,0,0,898.449,362.624,369.809,1063.473,0,0
,,2063,20.90834563,135.904572,0,0,1.018365,1.001965,-4.230778,0.0107,0,0,898.28,362.617,369.793,1063.497,0,0
,,2064,20.9087155,136.176914,0,0,1.018103,1.008121,-4.221614,0.009,0,0,899.415,362.592,369.769,1063.549,0,0
,,2065,20.90907989,135.394852,0,0,1.017726,1.012132,-4.258774,0.0108,0,0,907.49,362.566,369.748,1063.618,0,0
,,2066,20.90887074,136.243051,0,0,1.01697,1.008584,-4.201827,0.0077,0,0,911.538,362.594,369.783,1063.649,0,0
,,2067,20.90791214,136.872944,0,0,1.017353,0.999344,-4.224447,0.0103,0,0,919.224,362.603,369.8,1063.615,0,0
,,2068,20.90913184,136.244164,0,0,1.01723,1.008558,-4.292821,0.0113,0,0,918.835,362.603,369.81,1063.669,0,0
,,2069,20.91040602,136.42036,0,0,1.016332,1.011217,-4.18196,0.0099,0,0,912.27,362.605,369.818,1063.633,0,0
,,2070,20.91092353,134.206737,0,0,1.016186,1.007834,-4.194057,0.0119,0,0,905.601,362.647,369.861,1063.634,0,0
,,2071,20.91129546,135.365315,0,0,1.01625,1.008702,-4.281132,0.0093,0,0,906.284,362.683,369.876,1063.644,0,0
,,2072,20.91019595,135.778249,0,0,1.016101,1.013362,-4.183251,0.0099,0,0,910.227,362.666,369.883,1063.666,0,0
,,2073,20.90989654,135.965213,0,0,1.016106,1.008682,-4.217781,0.011,0,0,892.631,362.648,369.835,1063.708,0,0
,,2074,20.90989654,136.01036,0,0,1.015429,1.00014,-4.290482,0.0093,0,0,892.905,362.651,369.851,1063.779,0,0
,,2075,20.91077817,135.982437,0,0,1.015759,1.010059,-4.202887,0.0086,0,0,889.94,362.638,369.823,1063.778,0,0
,,2076,20.9112966,135.854159,0,0,1.014992,1.006852,-4.196542,0.0086,0,0,887.816,362.598,369.81,1063.74,0,0
,,2077,20.9107837,134.983378,0,0,1.015131,1.004833,-4.243763,0.0098,0,0,889.472,362.621,369.83,1063.687,0,0
,,2078,20.91005493,136.063016,0,0,1.014636,1.00472,-4.219221,0.0097,0,0,883.342,362.616,369.833,1063.661,0,0
,,2079,20.90989654,136.983201,0,0,1.015162,1.010668,-4.229111,0.0082,0,0,885.062,362.603,369.783,1063.663,0,0
,,2080,20.91019041,135.916857,0,0,1.014283,1.000269,-4.238024,0.0103,0,0,891.14,362.554,369.737,1063.705,0,0
,,2081,20.91055914,135.225656,0,0,1.014014,1.000545,-4.227912,0.0107,0,0,892.631,362.532,369.728,1063.716,0,0
,,2082,20.910634,135.280078,0,0,1.01429,1.010015,-4.27243,0.0094,0,0,896.821,362.538,369.738,1063.718,0,0
,,2083,20.910634,134.510847,0,0,1.014245,1.008895,-4.216244,0.0105,0,0,886.305,362.565,369.755,1063.701,0,0
,,2084,20.91004624,135.235886,0,0,1.01479,1.00053,-4.233413,0.0087,0,0,885.274,362.553,369.734,1063.642,0,0
,,2085,20.90989654,136.306458,0,0,1.014506,1.002319,-4.243053,0.0099,0,0,880.638,362.543,369.728,1063.601,0,0
,,2086,20.91047323,136.552295,0,0,1.014051,1.012881,-4.215661,0.012,0,0,883.475,362.544,369.738,1063.612,0,0
,,2087,20.910634,136.278,0,0,1.013686,0.997097,-4.17239,0.0097,0,0,894.808,362.575,369.765,1063.612,0,0
,,2088,20.91092234,136.824046,0,0,1.013994,1.000201,-4.231104,0.0116,0,0,898.647,362.582,369.788,1063.595,0,0
,,2089,20.91071438,137.011112,0,0,1.013785,1.005755,-4.185792,0.0109,0,0,900.638,362.602,369.802,1063.581,0,0
,,2090,20.9100573,137.205787,0,0,1.013517,1.005794,-4.166152,0.0123,0,0,902.702,362.598,369.795,1063.509,0,0
,,2091,20.90960819,136.361587,0,0,1.014165,0.997306,-4.259845,0.0105,0,0,909.021,362.586,369.783,1063.459,0,0
,,2092,20.91068119,136.980551,0,0,1.013774,1.002603,-4.259727,0.0112,0,0,903.784,362.541,369.756,1063.43,0,0
,,2093,20.91100272,136.830219,0,0,1.013748,1.010228,-4.188651,0.0111,0,0,917.098,362.538,369.724,1063.384,0,0
,,2094,20.91071319,135.76897,0,0,1.013399,0.999673,-4.213708,0.0107,0,0,915.431,362.535,369.723,1063.373,0,0
,,2095,20.91034126,136.808943,0,0,1.01382,1.001242,-4.204267,0.0086,0,0,922.584,362.53,369.729,1063.378,0,0
,,2096,20.90997139,134.569895,0,0,1.01391,1.007587,-4.183937,0.0097,0,0,920.79,362.519,369.695,1063.391,0,0
,,2097,20.9087384,133.936487,0,0,1.013672,1.008011,-4.188961,0.0097,0,0,918.94,362.526,369.71,1063.352,0,0
,,2098,20.90870997,135.369474,0,0,1.013363,0.995403,-4.201415,0.0093,0,0,908.746,362.525,369.678,1063.371,0,0
,,2099,20.90908309,136.97039,0,0,1.01366,1.005834,-4.222485,0.0087,0,0,918.092,362.487,369.665,1063.391,0,0
,,2100,20.90857133,137.023847,0,0,1.01318,1.004793,-4.226801,0.0083,0,0,918.451,362.467,369.629,1063.422,0,0
,,2101,20.9087155,135.800848,0,0,1.013103,1.000514,-4.181909,0.0079,0,0,914.793,362.466,369.612,1063.475,0,0
,,2102,20.90821128,135.616752,0,0,1.013437,1.006916,-4.234372,0.0093,0,0,921.425,362.443,369.612,1063.464,0,0
,,2103,20.90834563,136.536917,0,0,1.013638,1.005798,-4.178343,0.0101,0,0,915.108,362.45,369.654,1063.454,0,0
,,2104,20.9087155,135.622189,0,0,1.013461,1.002122,-4.171207,0.0094,0,0,911.584,362.484,369.675,1063.419,0,0
,,2105,20.90908423,135.845386,0,0,1.013018,1.00139,-4.230549,0.0098,0,0,908.82,362.457,369.656,1063.423,0,0
,,2106,20.90857133,136.234759,0,0,1.012896,1.0109,-4.214177,0.0067,0,0,904.47,362.442,369.602,1063.424,0,0
,,2107,20.90842162,136.249363,0,0,1.012867,0.997399,-4.16541,0.0098,0,0,904.707,362.392,369.557,1063.447,0,0
,,2108,20.90812775,135.786553,0,0,1.013091,0.999535,-4.275256,0.0106,0,0,903.645,362.39,369.547,1063.489,0,0
,,2109,20.9080529,136.097738,0,0,1.01331,1.007526,-4.221442,0.0104,0,0,903.054,362.395,369.58,1063.544,0,0
,,2110,20.90863196,135.114577,0,0,1.013464,1.00807,-4.186909,0.0123,0,0,901.504,362.408,369.593,1063.556,0,0
,,2111,20.90879035,135.628623,0,0,1.013335,0.997418,-4.25897,0.0092,0,0,901.192,362.42,369.612,1063.59,0,0
,,2112,20.90908423,136.0418,0,0,1.012398,1.003134,-4.217609,0.0095,0,0,904.73,362.417,369.588,1063.654,0,0
,,2113,20.90827745,135.532976,0,0,1.012721,1.0139,-4.208472,0.0091,0,0,898.055,362.366,369.559,1063.657,0,0
,,2114,20.9080529,136.732164,0,0,1.013404,1.002152,-4.239939,0.0091,0,0,899.119,362.386,369.565,1063.625,0,0
,,2115,20.90863837,137.154614,0,0,1.013438,0.999219,-4.217933,0.0106,0,0,898.603,362.395,369.578,1063.619,0,0
,,2116,20.90850082,136.487389,0,0,1.013363,1.007292,-4.226911,0.0118,0,0,897.717,362.391,369.589,1063.614,0,0
,,2117,20.90928666,136.005845,0,0,1.012946,1.007918,-4.189661,0.0116,0,0,900.217,362.377,369.558,1063.602,0,0
,,2118,20.90895112,136.811255,0,0,1.013058,0.99556,-4.20645,0.0092,0,0,902.883,362.366,369.562,1063.594,0,0
